epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,880.756,0.52541,0.42028,0.95197,0.92087,0.96359,0.96029,0.83105,0.5679,0.39833,0.94632,0.00010729,0.00010729,0.00010729
90,887.252,0.54515,0.44819,0.96921,0.93017,0.94877,0.95999,0.82744,0.55804,0.39324,0.94639,9.90437e-05,9.90437e-05,9.90437e-05
91,921.939,0.49381,0.34581,0.93203,0.91464,0.95292,0.95852,0.82295,0.56147,0.39446,0.94395,9.0797e-05,9.0797e-05,9.0797e-05
92,928.793,0.4481,0.33633,0.90684,0.91052,0.96243,0.96216,0.82563,0.56141,0.40312,0.94558,8.25503e-05,8.25503e-05,8.25503e-05
93,935.368,0.44975,0.31857,0.89664,0.89717,0.96769,0.95814,0.8299,0.54859,0.42062,0.93678,7.43036e-05,7.43036e-05,7.43036e-05
94,942.734,0.46103,0.32335,0.92191,0.90706,0.96599,0.95521,0.82628,0.54782,0.4133,0.93524,6.60569e-05,6.60569e-05,6.60569e-05
95,949.175,0.44116,0.31545,0.90404,0.92164,0.92497,0.95569,0.83099,0.54498,0.39076,0.92635,5.78102e-05,5.78102e-05,5.78102e-05
96,955.764,0.40322,0.30319,0.88333,0.95398,0.91784,0.95422,0.8295,0.54379,0.3893,0.92944,4.95635e-05,4.95635e-05,4.95635e-05
97,962.378,0.41413,0.30022,0.88807,0.95686,0.92814,0.95676,0.83518,0.54247,0.38656,0.93308,4.13168e-05,4.13168e-05,4.13168e-05
98,968.839,0.42278,0.30456,0.90234,0.93901,0.92926,0.95782,0.83618,0.53494,0.38941,0.93116,3.30701e-05,3.30701e-05,3.30701e-05
99,975.256,0.40193,0.29694,0.87631,0.93717,0.92975,0.96025,0.83492,0.53966,0.39209,0.92924,2.48234e-05,2.48234e-05,2.48234e-05
100,981.581,0.41625,0.30195,0.89776,0.93564,0.92947,0.96001,0.83547,0.54327,0.39321,0.93237,1.65767e-05,1.65767e-05,1.65767e-05
